Datum;Grupp;Serie;Värde
2023-04-11;Andra riksbanksräntor;Referensränta;2,50
2023-04-12;Andra riksbanksräntor;Referensränta;2,50
2023-04-13;Andra riksbanksräntor;Referensränta;2,50
2023-04-14;Andra riksbanksräntor;Referensränta;2,50
2023-04-17;Andra riksbanksräntor;Referensränta;2,50
2023-04-18;Andra riksbanksräntor;Referensränta;2,50
2023-04-19;Andra riksbanksräntor;Referensränta;2,50
2023-04-20;Andra riksbanksräntor;Referensränta;2,50
2023-04-21;Andra riksbanksräntor;Referensränta;2,50
2023-04-24;Andra riksbanksräntor;Referensränta;2,50
2023-04-25;Andra riksbanksräntor;Referensränta;2,50
2023-04-26;Andra riksbanksräntor;Referensränta;2,50
2023-04-27;Andra riksbanksräntor;Referensränta;2,50
2023-04-28;Andra riksbanksräntor;Referensränta;2,50
2023-05-02;Andra riksbanksräntor;Referensränta;2,50
2023-05-03;Andra riksbanksräntor;Referensränta;2,50
2023-05-04;Andra riksbanksräntor;Referensränta;2,50
2023-05-05;Andra riksbanksräntor;Referensränta;2,50
2023-05-08;Andra riksbanksräntor;Referensränta;2,50
2023-05-09;Andra riksbanksräntor;Referensränta;2,50
2023-05-10;Andra riksbanksräntor;Referensränta;2,50
2023-05-11;Andra riksbanksräntor;Referensränta;2,50
2023-05-12;Andra riksbanksräntor;Referensränta;2,50
2023-05-15;Andra riksbanksräntor;Referensränta;2,50
2023-05-16;Andra riksbanksräntor;Referensränta;2,50
2023-05-17;Andra riksbanksräntor;Referensränta;2,50
2023-05-19;Andra riksbanksräntor;Referensränta;2,50
2023-05-22;Andra riksbanksräntor;Referensränta;2,50
2023-05-23;Andra riksbanksräntor;Referensränta;2,50
2023-05-24;Andra riksbanksräntor;Referensränta;2,50
2023-05-25;Andra riksbanksräntor;Referensränta;2,50
2023-05-26;Andra riksbanksräntor;Referensränta;2,50
2023-05-29;Andra riksbanksräntor;Referensränta;2,50
2023-05-30;Andra riksbanksräntor;Referensränta;2,50
2023-05-31;Andra riksbanksräntor;Referensränta;2,50
2023-06-01;Andra riksbanksräntor;Referensränta;2,50
2023-06-02;Andra riksbanksräntor;Referensränta;2,50
2023-06-05;Andra riksbanksräntor;Referensränta;2,50
2023-06-07;Andra riksbanksräntor;Referensränta;2,50
2023-06-08;Andra riksbanksräntor;Referensränta;2,50
2023-06-09;Andra riksbanksräntor;Referensränta;2,50
2023-06-12;Andra riksbanksräntor;Referensränta;2,50
2023-06-13;Andra riksbanksräntor;Referensränta;2,50
2023-06-14;Andra riksbanksräntor;Referensränta;2,50
2023-06-15;Andra riksbanksräntor;Referensränta;2,50
2023-06-16;Andra riksbanksräntor;Referensränta;2,50
2023-06-19;Andra riksbanksräntor;Referensränta;2,50
2023-06-20;Andra riksbanksräntor;Referensränta;2,50
2023-06-21;Andra riksbanksräntor;Referensränta;2,50
2023-06-22;Andra riksbanksräntor;Referensränta;2,50
2023-06-26;Andra riksbanksräntor;Referensränta;2,50
2023-06-27;Andra riksbanksräntor;Referensränta;2,50
2023-06-28;Andra riksbanksräntor;Referensränta;2,50
2023-06-29;Andra riksbanksräntor;Referensränta;2,50
2023-06-30;Andra riksbanksräntor;Referensränta;2,50
2023-07-03;Andra riksbanksräntor;Referensränta;3,50
2023-07-04;Andra riksbanksräntor;Referensränta;3,50
2023-07-05;Andra riksbanksräntor;Referensränta;3,50
2023-07-06;Andra riksbanksräntor;Referensränta;3,50
2023-07-07;Andra riksbanksräntor;Referensränta;3,50
2023-07-10;Andra riksbanksräntor;Referensränta;3,50
2023-07-11;Andra riksbanksräntor;Referensränta;3,50
2023-07-12;Andra riksbanksräntor;Referensränta;3,50
2023-07-13;Andra riksbanksräntor;Referensränta;3,50
2023-07-14;Andra riksbanksräntor;Referensränta;3,50
2023-07-17;Andra riksbanksräntor;Referensränta;3,50
2023-07-18;Andra riksbanksräntor;Referensränta;3,50
2023-07-19;Andra riksbanksräntor;Referensränta;3,50
2023-07-20;Andra riksbanksräntor;Referensränta;3,50
2023-07-21;Andra riksbanksräntor;Referensränta;3,50
2023-07-24;Andra riksbanksräntor;Referensränta;3,50
2023-07-25;Andra riksbanksräntor;Referensränta;3,50
2023-07-26;Andra riksbanksräntor;Referensränta;3,50
2023-07-27;Andra riksbanksräntor;Referensränta;3,50
2023-07-28;Andra riksbanksräntor;Referensränta;3,50
2023-07-31;Andra riksbanksräntor;Referensränta;3,50
2023-08-01;Andra riksbanksräntor;Referensränta;3,50
2023-08-02;Andra riksbanksräntor;Referensränta;3,50
2023-08-03;Andra riksbanksräntor;Referensränta;3,50
2023-08-04;Andra riksbanksräntor;Referensränta;3,50
2023-08-07;Andra riksbanksräntor;Referensränta;3,50
2023-08-08;Andra riksbanksräntor;Referensränta;3,50
2023-08-09;Andra riksbanksräntor;Referensränta;3,50
2023-08-10;Andra riksbanksräntor;Referensränta;3,50
2023-08-11;Andra riksbanksräntor;Referensränta;3,50
2023-08-14;Andra riksbanksräntor;Referensränta;3,50
2023-08-15;Andra riksbanksräntor;Referensränta;3,50
2023-08-16;Andra riksbanksräntor;Referensränta;3,50
2023-08-17;Andra riksbanksräntor;Referensränta;3,50
2023-08-18;Andra riksbanksräntor;Referensränta;3,50
2023-08-21;Andra riksbanksräntor;Referensränta;3,50
2023-08-22;Andra riksbanksräntor;Referensränta;3,50
2023-08-23;Andra riksbanksräntor;Referensränta;3,50
2023-08-24;Andra riksbanksräntor;Referensränta;3,50
2023-08-25;Andra riksbanksräntor;Referensränta;3,50
2023-08-28;Andra riksbanksräntor;Referensränta;3,50
2023-08-29;Andra riksbanksräntor;Referensränta;3,50
2023-08-30;Andra riksbanksräntor;Referensränta;3,50
2023-08-31;Andra riksbanksräntor;Referensränta;3,50
2023-09-01;Andra riksbanksräntor;Referensränta;3,50
2023-09-04;Andra riksbanksräntor;Referensränta;3,50
2023-09-05;Andra riksbanksräntor;Referensränta;3,50
2023-09-06;Andra riksbanksräntor;Referensränta;3,50
2023-09-07;Andra riksbanksräntor;Referensränta;3,50
2023-09-08;Andra riksbanksräntor;Referensränta;3,50
2023-09-11;Andra riksbanksräntor;Referensränta;3,50
2023-09-12;Andra riksbanksräntor;Referensränta;3,50
2023-09-13;Andra riksbanksräntor;Referensränta;3,50
2023-09-14;Andra riksbanksräntor;Referensränta;3,50
2023-09-15;Andra riksbanksräntor;Referensränta;3,50
2023-09-18;Andra riksbanksräntor;Referensränta;3,50
2023-09-19;Andra riksbanksräntor;Referensränta;3,50
2023-09-20;Andra riksbanksräntor;Referensränta;3,50
2023-09-21;Andra riksbanksräntor;Referensränta;3,50
2023-09-22;Andra riksbanksräntor;Referensränta;3,50
2023-09-25;Andra riksbanksräntor;Referensränta;3,50
2023-09-26;Andra riksbanksräntor;Referensränta;3,50
2023-09-27;Andra riksbanksräntor;Referensränta;3,50
2023-09-28;Andra riksbanksräntor;Referensränta;3,50
2023-09-29;Andra riksbanksräntor;Referensränta;3,50
2023-10-02;Andra riksbanksräntor;Referensränta;3,50
2023-10-03;Andra riksbanksräntor;Referensränta;3,50
2023-10-04;Andra riksbanksräntor;Referensränta;3,50
2023-10-05;Andra riksbanksräntor;Referensränta;3,50
2023-10-06;Andra riksbanksräntor;Referensränta;3,50
2023-10-09;Andra riksbanksräntor;Referensränta;3,50
2023-10-10;Andra riksbanksräntor;Referensränta;3,50
2023-10-11;Andra riksbanksräntor;Referensränta;3,50
2023-10-12;Andra riksbanksräntor;Referensränta;3,50
2023-10-13;Andra riksbanksräntor;Referensränta;3,50
2023-10-16;Andra riksbanksräntor;Referensränta;3,50
2023-10-17;Andra riksbanksräntor;Referensränta;3,50
2023-10-18;Andra riksbanksräntor;Referensränta;3,50
2023-10-19;Andra riksbanksräntor;Referensränta;3,50
2023-10-20;Andra riksbanksräntor;Referensränta;3,50
2023-10-23;Andra riksbanksräntor;Referensränta;3,50
2023-10-24;Andra riksbanksräntor;Referensränta;3,50
2023-10-25;Andra riksbanksräntor;Referensränta;3,50
2023-10-26;Andra riksbanksräntor;Referensränta;3,50
2023-10-27;Andra riksbanksräntor;Referensränta;3,50
2023-10-30;Andra riksbanksräntor;Referensränta;3,50
2023-10-31;Andra riksbanksräntor;Referensränta;3,50
2023-11-01;Andra riksbanksräntor;Referensränta;3,50
2023-11-02;Andra riksbanksräntor;Referensränta;3,50
2023-11-03;Andra riksbanksräntor;Referensränta;3,50
2023-11-06;Andra riksbanksräntor;Referensränta;3,50
2023-11-07;Andra riksbanksräntor;Referensränta;3,50
2023-11-08;Andra riksbanksräntor;Referensränta;3,50
2023-11-09;Andra riksbanksräntor;Referensränta;3,50
2023-11-10;Andra riksbanksräntor;Referensränta;3,50
2023-11-13;Andra riksbanksräntor;Referensränta;3,50
2023-11-14;Andra riksbanksräntor;Referensränta;3,50
2023-11-15;Andra riksbanksräntor;Referensränta;3,50
2023-11-16;Andra riksbanksräntor;Referensränta;3,50
2023-11-17;Andra riksbanksräntor;Referensränta;3,50
2023-11-20;Andra riksbanksräntor;Referensränta;3,50
2023-11-21;Andra riksbanksräntor;Referensränta;3,50
2023-11-22;Andra riksbanksräntor;Referensränta;3,50
